municipality,census_csduid,census_cduid,census_desc,fuel_type,registered_vehicles_2016,registered_vehicles_2017,registered_vehicles_2018,registered_vehicles_2019,registered_vehicles_2020
Addington Highlands,3511035,,Township,Compressed Natural Gas,0,0,0,0,0
Addington Highlands,3511035,,Township,Diesel,177,173,182,187,201
Addington Highlands,3511035,,Township,Electric,0,0,0,1,1
Addington Highlands,3511035,,Township,Gas,2551,2618,2611,2672,2741
Addington Highlands,3511035,,Township,Plugin Hybrid,1,1,1,4,3
Addington Highlands,3511035,,Township,Propane,1,2,3,2,2
Adelaide-Metcalfe,3539047,,Township,Compressed Natural Gas,0,0,0,0,0
Adelaide-Metcalfe,3539047,,Township,Diesel,188,188,181,174,191
Adelaide-Metcalfe,3539047,,Township,Electric,0,0,0,0,1
Adelaide-Metcalfe,3539047,,Township,Gas,863,877,861,859,887
Adelaide-Metcalfe,3539047,,Township,Plugin Hybrid,0,1,1,1,1
Adelaide-Metcalfe,3539047,,Township,Propane,1,1,1,1,1
Adjala-Tosorontio,3543003,,Township,Compressed Natural Gas,0,0,0,0,0
Adjala-Tosorontio,3543003,,Township,Diesel,531,515,533,572,574
Adjala-Tosorontio,3543003,,Township,Electric,2,2,8,9,9
Adjala-Tosorontio,3543003,,Township,Gas,6136,6292,6246,6335,6473
Adjala-Tosorontio,3543003,,Township,Plugin Hybrid,1,2,5,5,7
Adjala-Tosorontio,3543003,,Township,Propane,1,1,0,1,1
Admaston/Bromley,3547043,,Township,Compressed Natural Gas,0,0,0,0,0
Admaston/Bromley,3547043,,Township,Diesel,89,87,87,86,91
Admaston/Bromley,3547043,,Township,Electric,0,0,0,0,0
Admaston/Bromley,3547043,,Township,Gas,846,870,878,882,891
Admaston/Bromley,3547043,,Township,Plugin Hybrid,0,0,0,0,0
Admaston/Bromley,3547043,,Township,Propane,0,0,0,0,0
Ajax,3518005,,Town,Compressed Natural Gas,4,3,3,3,1
Ajax,3518005,,Town,Diesel,1987,2037,2056,1994,1980
Ajax,3518005,,Town,Electric,30,62,156,223,318
Ajax,3518005,,Town,Gas,77836,79197,80177,80936,81580
Ajax,3518005,,Town,Plugin Hybrid,35,57,129,148,162
Ajax,3518005,,Town,Propane,1,0,0,1,2
Alfred and Plantagenet,3502023,,Township,Compressed Natural Gas,0,0,0,0,0
Alfred and Plantagenet,3502023,,Township,Diesel,621,605,640,652,673
Alfred and Plantagenet,3502023,,Township,Electric,2,4,10,12,16
Alfred and Plantagenet,3502023,,Township,Gas,8298,8334,8514,8704,8933
Alfred and Plantagenet,3502023,,Township,Plugin Hybrid,8,12,14,17,18
Alfred and Plantagenet,3502023,,Township,Propane,1,1,1,1,1
Algonquin Highlands,3546018,,Township,Compressed Natural Gas,0,0,0,0,0
Algonquin Highlands,3546018,,Township,Diesel,175,190,181,195,209
Algonquin Highlands,3546018,,Township,Electric,2,2,3,3,3
Algonquin Highlands,3546018,,Township,Gas,2312,2395,2344,2354,2410
Algonquin Highlands,3546018,,Township,Plugin Hybrid,0,0,0,0,0
Algonquin Highlands,3546018,,Township,Propane,1,1,1,1,1
Alnwick/Haldimand,3514024,,Township,Compressed Natural Gas,3,3,3,3,2
Alnwick/Haldimand,3514024,,Township,Diesel,368,378,435,470,448
Alnwick/Haldimand,3514024,,Township,Electric,4,5,11,14,16
Alnwick/Haldimand,3514024,,Township,Gas,4601,4839,4937,5066,5223
Alnwick/Haldimand,3514024,,Township,Plugin Hybrid,0,1,3,3,4
Alnwick/Haldimand,3514024,,Township,Propane,0,0,0,1,1
Amaranth,3522008,,Township,Compressed Natural Gas,0,0,1,0,0
Amaranth,3522008,,Township,Diesel,548,585,549,578,594
Amaranth,3522008,,Township,Electric,0,0,2,4,6
Amaranth,3522008,,Township,Gas,3311,3537,3622,3723,3762
Amaranth,3522008,,Township,Plugin Hybrid,0,2,2,6,5
Amaranth,3522008,,Township,Propane,1,1,0,1,1
Amherstburg,3537028,,Town,Compressed Natural Gas,1,1,1,1,2
Amherstburg,3537028,,Town,Diesel,701,692,710,737,718
Amherstburg,3537028,,Town,Electric,2,2,7,10,14
Amherstburg,3537028,,Town,Gas,16054,16454,16787,17095,17528
Amherstburg,3537028,,Town,Plugin Hybrid,15,20,21,20,23
Amherstburg,3537028,,Town,Propane,1,0,0,0,0
Armour,3549019,,Township,Compressed Natural Gas,0,0,0,0,0
Armour,3549019,,Township,Diesel,36,37,35,30,33
Armour,3549019,,Township,Electric,0,0,0,0,0
Armour,3549019,,Township,Gas,434,446,449,461,477
Armour,3549019,,Township,Plugin Hybrid,0,0,0,0,0
Armour,3549019,,Township,Propane,0,0,0,0,0
Arnprior,3547002,,Town,Compressed Natural Gas,0,0,0,0,0
Arnprior,3547002,,Town,Diesel,453,379,396,376,383
Arnprior,3547002,,Town,Electric,0,0,8,10,13
Arnprior,3547002,,Town,Gas,10105,10285,10497,10489,10683
Arnprior,3547002,,Town,Plugin Hybrid,0,1,1,4,5
Arnprior,3547002,,Town,Propane,2,3,2,1,0
Arran-Elderslie,3541043,,Municipality,Compressed Natural Gas,1,1,1,2,2
Arran-Elderslie,3541043,,Municipality,Diesel,650,617,618,648,651
Arran-Elderslie,3541043,,Municipality,Electric,0,0,2,6,6
Arran-Elderslie,3541043,,Municipality,Gas,6523,6670,6768,6822,6972
Arran-Elderslie,3541043,,Municipality,Plugin Hybrid,0,0,4,4,5
Arran-Elderslie,3541043,,Municipality,Propane,1,1,1,1,1
Ashfield-Colborne-Wawanosh,3540063,,Township,Compressed Natural Gas,0,0,0,0,0
Ashfield-Colborne-Wawanosh,3540063,,Township,Diesel,48,49,47,46,48
Ashfield-Colborne-Wawanosh,3540063,,Township,Electric,0,0,0,0,0
Ashfield-Colborne-Wawanosh,3540063,,Township,Gas,368,369,404,398,395
Ashfield-Colborne-Wawanosh,3540063,,Township,Plugin Hybrid,0,0,0,0,0
Ashfield-Colborne-Wawanosh,3540063,,Township,Propane,0,0,0,0,1
Asphodel-Norwood,3515003,,Township,Compressed Natural Gas,0,0,0,0,0
Asphodel-Norwood,3515003,,Township,Diesel,224,199,238,238,242
Asphodel-Norwood,3515003,,Township,Electric,0,1,1,2,5
Asphodel-Norwood,3515003,,Township,Gas,3227,3443,3579,3685,3817
Asphodel-Norwood,3515003,,Township,Plugin Hybrid,0,1,0,1,2
Asphodel-Norwood,3515003,,Township,Propane,0,0,0,0,0
Assiginack,3551011,,Township,Compressed Natural Gas,0,0,0,0,0
Assiginack,3551011,,Township,Diesel,54,57,58,65,60
Assiginack,3551011,,Township,Electric,0,0,0,0,0
Assiginack,3551011,,Township,Gas,709,719,747,764,776
Assiginack,3551011,,Township,Plugin Hybrid,0,0,0,0,0
Assiginack,3551011,,Township,Propane,0,0,0,0,0
Athens,3507042,,Township,Compressed Natural Gas,1,1,1,0,0
Athens,3507042,,Township,Diesel,274,283,282,282,288
Athens,3507042,,Township,Electric,1,1,2,3,3
Athens,3507042,,Township,Gas,2920,2938,2926,3006,3110
Athens,3507042,,Township,Plugin Hybrid,1,2,4,4,3
Athens,3507042,,Township,Propane,0,0,0,0,0
Atikokan,3559001,,Town,Compressed Natural Gas,0,0,0,0,0
Atikokan,3559001,,Town,Diesel,205,213,225,219,219
Atikokan,3559001,,Town,Electric,0,0,0,0,0
Atikokan,3559001,,Town,Gas,2573,2594,2597,2574,2616
Atikokan,3559001,,Town,Plugin Hybrid,0,0,0,0,0
Atikokan,3559001,,Town,Propane,0,0,0,1,0
Augusta,3507006,,Township,Compressed Natural Gas,0,0,1,1,1
Augusta,3507006,,Township,Diesel,129,131,127,134,151
Augusta,3507006,,Township,Electric,1,1,4,6,5
Augusta,3507006,,Township,Gas,2553,2557,2559,2620,2638
Augusta,3507006,,Township,Plugin Hybrid,0,0,1,2,2
Augusta,3507006,,Township,Propane,0,0,0,0,0
Aurora,3519046,,Town,Compressed Natural Gas,0,1,1,1,0
Aurora,3519046,,Town,Diesel,1449,1360,1436,1448,1399
Aurora,3519046,,Town,Electric,51,80,183,244,304
Aurora,3519046,,Town,Gas,38445,39904,40890,41673,41864
Aurora,3519046,,Town,Plugin Hybrid,36,62,107,112,133
